"Symbol,DateTime,Open,High,Low,Close"
"SPX,9/29/2011 12:00:00 AM,1151.74,1175.87,1139.93,1160.4"
"SPX,9/30/2011 12:00:00 AM,1159.93,1159.93,1131.34,1131.42"
"SPX,10/3/2011 12:00:00 AM,1131.21,1138.99,1098.92,1099.23"
"SPX,10/4/2011 12:00:00 AM,1097.42,1125.12,1074.77,1123.95"
"SPX,10/5/2011 12:00:00 AM,1124.03,1146.07,1115.68,1144.03"
"SPX,10/6/2011 12:00:00 AM,1144.11,1165.55,1134.95,1164.97"
"SPX,10/7/2011 12:00:00 AM,1165.03,1171.4,1150.26,1155.46"
"SPX,10/10/2011 12:00:00 AM,1158.15,1194.91,1158.15,1194.89"
"SPX,10/11/2011 12:00:00 AM,1194.6,1199.24,1187.3,1195.54"
"SPX,10/12/2011 12:00:00 AM,1196.19,1220.25,1196.19,1207.25"
"SPX,10/13/2011 12:00:00 AM,1206.96,1207.46,1190.58,1203.66"
"SPX,10/14/2011 12:00:00 AM,1205.65,1224.61,1205.65,1224.58"
"SPX,10/17/2011 12:00:00 AM,1224.47,1224.47,1198.55,1200.86"
"SPX,10/18/2011 12:00:00 AM,1200.75,1233.1,1191.48,1225.38"
"SPX,10/19/2011 12:00:00 AM,1223.46,1229.64,1206.31,1209.88"
"SPX,10/20/2011 12:00:00 AM,1209.92,1219.53,1197.34,1215.39"
"SPX,10/21/2011 12:00:00 AM,1215.39,1239.03,1215.39,1238.25"
"SPX,10/24/2011 12:00:00 AM,1238.72,1256.55,1238.72,1254.19"
"SPX,10/25/2011 12:00:00 AM,1254.19,1254.19,1226.79,1229.05"
"SPX,10/26/2011 12:00:00 AM,1229.17,1246.28,1221.06,1242"
"SPX,10/27/2011 12:00:00 AM,1243.97,1292.66,1243.97,1284.59"
"SPX,10/28/2011 12:00:00 AM,1284.39,1287.08,1277.01,1285.09"
"SPX,10/31/2011 12:00:00 AM,1284.96,1284.96,1253.16,1253.3"
"SPX,11/1/2011 12:00:00 AM,1251,1251,1215.42,1218.28"
"SPX,11/2/2011 12:00:00 AM,1219.62,1242.48,1219.62,1237.9"
"SPX,11/3/2011 12:00:00 AM,1238.25,1263.21,1234.81,1261.15"
"SPX,11/4/2011 12:00:00 AM,1260.82,1260.82,1238.92,1253.23"
"SPX,11/7/2011 12:00:00 AM,1253.21,1261.7,1240.75,1261.12"
"SPX,11/8/2011 12:00:00 AM,1261.12,1277.55,1254.99,1275.92"
"SPX,11/9/2011 12:00:00 AM,1275.18,1275.18,1226.64,1229.1"
"SPX,11/10/2011 12:00:00 AM,1229.59,1246.22,1227.7,1239.7"
"SPX,11/11/2011 12:00:00 AM,1240.12,1266.98,1240.12,1263.85"
"SPX,11/14/2011 12:00:00 AM,1263.85,1263.85,1246.68,1251.78"
"SPX,11/15/2011 12:00:00 AM,1251.7,1264.25,1244.34,1257.81"
"SPX,11/16/2011 12:00:00 AM,1257.81,1259.61,1235.67,1236.91"
"SPX,11/17/2011 12:00:00 AM,1236.56,1237.73,1209.43,1216.13"
"SPX,11/18/2011 12:00:00 AM,1216.19,1223.51,1211.36,1215.65"
"SPX,11/21/2011 12:00:00 AM,1215.62,1215.62,1183.16,1192.98"
"SPX,11/22/2011 12:00:00 AM,1192.98,1196.81,1181.65,1188.04"
"SPX,11/23/2011 12:00:00 AM,1187.48,1187.48,1161.79,1161.79"
"SPX,11/25/2011 12:00:00 AM,1161.41,1172.66,1158.66,1158.67"
"SPX,11/28/2011 12:00:00 AM,1158.67,1197.35,1158.67,1192.55"
"SPX,11/29/2011 12:00:00 AM,1192.56,1203.67,1191.8,1195.19"
"SPX,11/30/2011 12:00:00 AM,1196.72,1247.11,1196.72,1246.96"
"SPX,12/1/2011 12:00:00 AM,1246.91,1251.09,1239.73,1244.58"
