Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
GLD,10/5/2017 12:00:00 AM,121.15,121.24,120.395,120.52,6205423,121.7222,121.4429,121.861,119.2051,123.7237,36.7983,119.3697,123.6635,127.9573,-0.8087,-0.3039
GLD,10/6/2017 12:00:00 AM,120.26,121.21,119.7835,121.09,10013282,121.5957,121.3258,121.6837,119.0484,123.5206,40.4936,119.3725,123.3195,127.2665,-0.8314,-0.4094
GLD,10/9/2017 12:00:00 AM,121.64,122.11,121.551,122.08,5264116,121.6926,121.2012,121.4648,118.547,123.4424,46.3598,119.3631,123.114,126.8649,-0.7607,-0.4796
GLD,10/10/2017 12:00:00 AM,122.62,122.97,122.36,122.4,9315476,121.8341,121.1222,120.853,119.8657,124.7937,48.1395,119.4967,122.906,126.3153,-0.6711,-0.5179
GLD,10/11/2017 12:00:00 AM,122.57,122.88,122.03,122.79,5649430,122.0253,121.9908,121.7034,120.731,125.5831,50.3035,119.5894,122.765,125.9406,-0.5622,-0.5268
GLD,10/12/2017 12:00:00 AM,122.84,123.035,122.5,122.89,3037576,122.1982,121.8125,121.5137,120.56,125.3165,50.8696,119.8311,122.6015,125.3719,-0.4625,-0.5139
GLD,10/13/2017 12:00:00 AM,123.66,123.86,123.34,123.82,6820348,122.5226,122.2322,121.9001,121.01,125.4357,55.9008,120.0204,122.516,125.0116,-0.3049,-0.4721
GLD,10/16/2017 12:00:00 AM,123.82,123.97,122.57,122.97,8201979,122.6121,123.0072,122.7139,121.8121,126.3054,50.7822,120.0865,122.4465,124.8065,-0.2457,-0.4268
GLD,10/17/2017 12:00:00 AM,122.03,122.32,121.73,122.13,7041261,122.5156,124.0177,122.2905,121.3134,126.2053,46.2729,120.1812,122.322,124.4628,-0.2636,-0.3942
GLD,10/18/2017 12:00:00 AM,121.71,121.94,121.55,121.67,3666407,122.3465,122.8208,123.0519,119.9812,125.081,43.9703,120.1526,122.2245,124.2964,-0.3113,-0.3776
GLD,10/19/2017 12:00:00 AM,122.2,122.55,122.111,122.39,5567279,122.3552,122.3849,122.6906,119.8485,124.5986,48.3063,120.147,122.21,124.273,-0.2877,-0.3596
GLD,10/20/2017 12:00:00 AM,121.68,121.98,121.39,121.61,8481102,122.2062,121.7002,123.2642,120.4567,125.1512,44.3061,120.1063,122.1285,124.1507,-0.3281,-0.3533
GLD,10/23/2017 12:00:00 AM,120.98,121.9,120.96,121.8,5069650,122.1249,122.3432,122.6308,119.7902,124.5333,45.4902,120.2941,121.992,123.6899,-0.3409,-0.3508
GLD,10/24/2017 12:00:00 AM,121.26,121.71,120.98,121.33,5114120,121.9659,122.0881,122.3747,119.5377,124.2739,43.0518,120.2662,121.9015,123.5368,-0.3845,-0.3576
GLD,10/25/2017 12:00:00 AM,121.31,121.5899,120.84,121.35,4282369,121.8428,121.9695,122.267,119.4947,124.1299,43.1914,120.2178,121.87,123.5222,-0.4127,-0.3686
GLD,10/26/2017 12:00:00 AM,121.16,121.16,120.22,120.33,6438806,121.5402,121.7996,122.1057,119.4231,123.9175,38.068,120.0024,121.776,123.5496,-0.5115,-0.3972
GLD,10/27/2017 12:00:00 AM,120.38,120.99,120.21,120.9,6664180,121.4122,121.3572,121.6242,118.8201,123.4983,42.1945,119.929,121.742,123.555,-0.5376,-0.4253
GLD,10/30/2017 12:00:00 AM,120.93,121.47,120.8,121.13,5119241,121.3557,121.2187,121.5062,118.7818,123.3363,43.8211,119.9791,121.76,123.5409,-0.5335,-0.4469
GLD,10/31/2017 12:00:00 AM,120.82,120.84,120.38,120.67,3910495,121.2186,121.6938,121.9983,119.3965,123.7595,41.317,119.9531,121.752,123.5509,-0.561,-0.4697
GLD,11/1/2017 12:00:00 AM,120.98,121.55,120.835,121.11,4647787,121.1969,121.1553,121.4527,118.9112,123.1769,44.5793,119.9461,121.749,123.5519,-0.541,-0.484
GLD,11/2/2017 12:00:00 AM,121.29,121.96,121.05,121.19,5369504,121.1955,121.7661,122.0419,119.4835,123.7707,45.1761,120.0486,121.7825,123.5164,-0.5128,-0.4897
GLD,11/3/2017 12:00:00 AM,121.36,121.43,120.1844,120.62,6330642,121.0804,122.1039,122.3655,119.7775,124.1065,41.7284,119.9761,121.759,123.5419,-0.5303,-0.4979
GLD,11/6/2017 12:00:00 AM,120.72,121.85,120.68,121.65,6953772,121.1943,121.5153,121.7377,118.9524,123.5834,49.2635,119.9603,121.7375,123.5147,-0.4558,-0.4895
GLD,11/7/2017 12:00:00 AM,121.51,121.56,120.78,121.21,4165933,121.1975,120.4957,122.2499,119.3094,124.1818,46.4974,119.9139,121.678,123.4421,-0.4274,-0.477
GLD,11/8/2017 12:00:00 AM,121.95,122.25,121.59,121.63,5565212,121.284,120.4648,122.134,119.2503,124.0396,49.417,119.9312,121.62,123.3088,-0.3667,-0.455
GLD,11/9/2017 12:00:00 AM,121.85,122.41,121.73,122.13,6072442,121.4532,121.2057,122.8979,119.9736,124.8281,52.7245,119.9771,121.582,123.1869,-0.2751,-0.419
