Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
SPX,2/4/2013 12:00:00 AM,1513.17,1513.17,1495.02,1495.71,0,1498.3986,1498.0028,1495.6794,1485.1627,1474.6433,59.6452,1452.4539,1485.446,1518.4381,16.8568,17.3302
SPX,2/5/2013 12:00:00 AM,1495.71,1514.96,1495.71,1511.29,0,1500.9769,1514.1313,1492.1382,1480.4639,1468.9655,65.2506,1454.9511,1487.916,1520.8809,16.9075,17.2457
SPX,2/6/2013 12:00:00 AM,1511.29,1512.53,1504.71,1512.12,0,1503.2055,1516.7468,1492.0521,1479.2258,1466.7254,65.5254,1459.2906,1490.6645,1522.0384,16.8207,17.1607
SPX,2/7/2013 12:00:00 AM,1512.12,1512.9,1498.49,1509.39,0,1504.4424,1517.6567,1496.3304,1484.2556,1472.3411,63.7404,1463.8376,1493.083,1522.3284,16.3432,16.9972
SPX,2/8/2013 12:00:00 AM,1509.39,1518.31,1509.39,1517.93,0,1507.1399,1515.1518,1493.0199,1480.588,1468.3467,66.7883,1465.8795,1495.3735,1524.8675,16.4642,16.8906
SPX,2/11/2013 12:00:00 AM,1517.93,1518.31,1513.61,1517.01,0,1509.1139,1505.6783,1501.8576,1489.9542,1478.1307,66.1433,1468.7336,1497.6215,1526.5094,16.2979,16.7721
SPX,2/12/2013 12:00:00 AM,1517.01,1522.29,1515.61,1519.43,0,1511.1772,1509.741,1505.2935,1494.4802,1483.5667,67.0449,1472.4782,1500.059,1527.6398,16.175,16.6526
SPX,2/13/2013 12:00:00 AM,1519.43,1524.69,1515.93,1520.33,0,1513.0077,1513.3482,1509.0083,1498.8235,1488.4572,67.3926,1476.648,1502.4585,1528.269,15.9661,16.5153
SPX,2/14/2013 12:00:00 AM,1520.33,1523.14,1514.02,1521.38,0,1514.6822,1514.4961,1510.5832,1500.6179,1490.4654,67.8193,1481.7427,1504.896,1528.0493,15.7043,16.3531
SPX,2/15/2013 12:00:00 AM,1521.38,1524.24,1514.14,1519.79,0,1515.7037,1512.5381,1508.9635,1499.1299,1489.1176,66.4023,1485.6119,1506.8385,1528.0651,15.1933,16.1212
SPX,2/19/2013 12:00:00 AM,1519.79,1530.94,1519.79,1530.94,0,1518.751,1512.7368,1509.4856,1499.6149,1489.5987,70.9811,1487.6502,1509.0865,1530.5228,15.5094,15.9988
SPX,2/20/2013 12:00:00 AM,1530.94,1530.94,1511.41,1511.95,0,1517.3908,1518.3711,1515.3978,1505.3358,1495.1801,56.7865,1489.9868,1510.056,1530.1252,14.0653,15.6121
SPX,2/21/2013 12:00:00 AM,1511.95,1511.95,1497.29,1502.42,0,1514.3966,1530.8397,1532.8809,1497.974,1486.6201,51.2478,1491.2697,1510.4365,1529.6033,12.0134,14.8924
SPX,2/22/2013 12:00:00 AM,1502.42,1515.64,1502.42,1515.6,0,1514.6373,1514.5236,1516.863,1480.3991,1468.6151,57.4317,1493.598,1511.4755,1529.353,11.3203,14.178
SPX,2/25/2013 12:00:00 AM,1515.6,1525.84,1487.85,1487.85,0,1509.2798,1499.3862,1521.4507,1484.4393,1472.4627,44.6035,1490.3619,1510.72,1531.0781,8.4346,13.0293
SPX,2/26/2013 12:00:00 AM,1487.85,1498.99,1485.01,1496.94,0,1506.8119,1523.2685,1523.9146,1473.6894,1458.3696,48.6496,1489.819,1510.558,1531.297,6.8027,11.784
SPX,2/27/2013 12:00:00 AM,1496.94,1520.08,1494.88,1515.99,0,1508.6475,1505.7685,1508.5079,1459.7103,1444.5301,55.9166,1490.1361,1510.9655,1531.7949,6.9663,10.8205
SPX,2/28/2013 12:00:00 AM,1515.99,1525.34,1514.46,1514.68,0,1509.854,1492.1629,1489.3917,1472.1719,1455.6824,55.3366,1491.1372,1511.6015,1532.0658,6.9106,10.0385
SPX,3/1/2013 12:00:00 AM,1514.68,1519.99,1501.48,1518.2,0,1511.5232,1507.6633,1503.1223,1486.85,1471.0497,56.638,1492.9323,1512.606,1532.2797,7.069,9.4446
