Symbol,DateTime,Open,High,Low,Close,Volume,EMA,SuperTrend1,SuperTrend2,SuperTrend3,SuperTrend4,RSI,LowerBollingerBand,MiddleBollingerBand,UpperBollingerBand,macdValue,macdAvg
SPY,8/9/2004 12:00:00 AM,107.02,107.48,106.87,107,37476300,108.8751,108.4164,108.715,104.4662,111.4908,30.8767,107.2551,109.9475,112.6399,-1.0377,-0.7794
SPY,8/10/2004 12:00:00 AM,107.31,108.41,107.26,108.38,55870600,108.7761,108.0272,108.4555,104.6118,111.0203,40.3938,107.149,109.7735,112.398,-1.0274,-0.829
SPY,8/11/2004 12:00:00 AM,107.68,108.33,107.1,108.16,52933200,108.6529,106.9289,109.139,105.229,111.7395,39.461,107.0198,109.6055,112.1912,-1.0252,-0.8683
SPY,8/12/2004 12:00:00 AM,107.68,107.95,106.63,106.98,50015900,108.3183,106.8129,109.0147,105.1167,111.6096,34.817,106.6517,109.4145,112.1773,-1.106,-0.9158
SPY,8/13/2004 12:00:00 AM,107.1,107.35,106.59,107.19,41634700,108.0926,106.3204,108.6315,104.6147,111.2916,36.2548,106.3814,109.2385,112.0956,-1.1399,-0.9606
SPY,8/16/2004 12:00:00 AM,107.14,108.64,107.1,108.3,45731900,108.1341,106.1754,108.2058,104.4873,110.7067,43.3658,106.2953,109.1415,111.9877,-1.0649,-0.9815
SPY,8/17/2004 12:00:00 AM,108.75,109.28,108.53,108.91,40701600,108.2893,106.962,106.5789,105.2877,111.7426,46.8732,106.3995,109.005,111.6105,-0.9453,-0.9742
SPY,8/18/2004 12:00:00 AM,108.52,110.17,108.49,110.03,43165400,108.6374,108.0858,107.6704,106.4264,112.6341,52.6692,106.3949,109.0275,111.6601,-0.7516,-0.9297
SPY,8/19/2004 12:00:00 AM,109.81,110.02,109.18,109.71,39881600,108.8519,108.3681,108.0145,106.7045,113.2608,50.9586,106.3964,109.019,111.6416,-0.6167,-0.8671
SPY,8/20/2004 12:00:00 AM,109.61,110.63,109.51,110.48,44870900,109.1776,108.7849,108.3691,107.1288,113.3184,54.7656,106.3966,109.095,111.7934,-0.4426,-0.7822
SPY,8/23/2004 12:00:00 AM,110.55,110.77,110.05,110.2,33745100,109.382,109.2673,108.8593,107.6373,113.7332,53.1498,106.4324,109.1675,111.9026,-0.3235,-0.6905
SPY,8/24/2004 12:00:00 AM,110.64,110.73,109.85,110.35,30453100,109.5756,109.7268,109.2885,108.1428,113.842,53.9339,106.4244,109.1965,111.9686,-0.2145,-0.5953
